169,25
224,108
30,24
128,64
165,57
19,100
49,188
93,102
108,199
216,66
226,106
251,152
178,245
61,141
177,250
117,213
152,160
242,134
210,31
149,38
26,153
3,18
24,74
47,0
60,46
132,67
191,137
75,86
199,201
208,147
77,191
114,202
212,13
15,128
19,119
189,44
67,0
102,100
249,13
10,236
76,224
248,250
16,77
172,175
148,116
207,224
190,240
58,55
156,57

29,38
47,47
0,181
9,161
79,40
130,208
138,219
165,156
224,140
49,141
60,18
17,163
210,205
6,85
176,29
2,236
250,160
93,59
141,223
141,82
201,129
137,139
204,144
11,186
138,81
126,122
18,138
215,146
124,196
131,176
199,14
88,32
209,15
33,138
73,220
36,138
113,116
159,185
13,147
114,184
25,184
174,72
13,158
97,24
51,234
46,57
112,72
248,2
44,242
226,136
104,24
75,29
40,18
5,101
98,6
87,108
101,87
5,96
124,184
134,98
29,59
208,67
149,179
178,71
247,216
245,10
7,161
180,102
104,112
112,56
11,177
46,23
6,83
102,2
187,183
69,218
78,248
117,160
30,6
97,121
25,161
76,172
207,47
123,123
187,12
94,164
240,41
189,145
255,56
107,6
179,85
236,29
115,26
247,47
15,143
236,241
132,199
67,67
177,75
204,92
137,2
118,132
234,52
43,68
90,171
186,81
161,80
213,27
251,99
73,149
7,166
215,69
144,33
61,176
98,100
79,103
128,192
161,241
227,126
2,238
131,51
108,171
31,243
162,247
213,206
255,199
123,0
3,17
140,177
249,244
148,224
202,89
39,118
44,222
144,177
130,82
234,222
227,157
42,60
9,168
245,255
35,48
201,72
172,3
191,54
18,152
140,61
27,150
14,239
43,111
212,217
40,58
250,90
31,236
162,85
202,147
113,5
16,93
101,50
209,222
126,4
159,38
14,225
77,242
87,59
180,210
58,13
169,176
51,217
160,108
242,116
90,241
94,250
88,120
24,82
39,81
156,165
186,235
115,105
190,78
152,56
254,152
69,159
134,228
26,131
179,230
27,141
174,230
35,19
107,109
36,174
78,182
240,217
10,230
118,242
160,204
254,102
33,171
42,22
17,178
176,173
216,154
